"COMPNAME","pmkind"
"Aabab","Alluvium"
"Aagard","Slope alluvium"
"Aaron","Residuum"
"Aarup","Volcanic ash"
"Aastad","Till"
"Aazdahl","Till"
"Abac","Residuum"
"Abaft","Eolian sands"
"Abajo","Alluvium"
"Abalan","Colluvium"
"Abalobadiah","Colluvium"
"Abbaye","Till"
"Abbeylake","Outwash"
"Abbie","Alluvium"
"Abbott","Alluvium"
"Abbottstown","Residuum"
"Abbyville","Alluvium"
"Abcal","Alluvium"
"Abegg","Alluvium"
"Abela","Alluvium"
"Abell","Alluvium"
"Abenaki","Alluvium"
"Aberdeen","Glaciolacustrine deposits"
"Abernathy","Alluvium"
"Aberone","Alluvium"
"Abersito","Colluvium"
"Abert","Eolian deposits"
"Abeyta","Slope alluvium"
"Abgese","Alluvium"
"Abilene","Alluvium"
"Abin","Alluvium"
"Abiqua","Alluvium"
"Abiquiu","Alluvium"
"Abita","Marine deposits"
"Abo","Alluvium"
"Abor","Residuum"
"Aborigine","Marine deposits"
"Aboten","Alluvium"
"Abra","Alluvium"
"Abracon","Alluvium"
"Abraham","Alluvium"
"Abram","Subglacial till"
"Abrazo","Alluvium"
"Abreu","Colluvium"
"Abrojo","Colluvium"
"Absaquil","Colluvium"
"Absarokee","Residuum"
"Absarook","Residuum"
"Absay","Alluvium"
"Abscota","Alluvium"
"Absher","Alluvium"
"Absted","Alluvium"
"Abston","Alluvium"
"Acacio","Alluvium"
"Academy","Alluvium"
"Acadia","Alluvium"
"Acadiana","Alluvium"
"Acampo","Alluvium"
"Acana","Alluvium"
"Acanod","Colluvium"
"Acantilado","Alluvium"
"Acasco","Alluvium"
"Accelerator","Residuum"
"Accola","Colluvium"
"Aceitunas","Alluvium"
"Acel","Glaciofluvial deposits"
"Achelake","Loess"
"Achimin","Loess"
"Ackelton","Eolian deposits"
"Acker","Colluvium"
"Ackerman","Coprogenic material"
"Ackett","Colluvium"
"Ackley","Alluvium"
"Ackmen","Alluvium"
"Ackmore","Alluvium"
"Ackna","Alluvium"
"Ackwater","Alluvium"
"Acme","Alluvium"
"Aco","Alluvium"
"Acoma","Alluvium"
"Acord","Alluvium"
"Acove","Residuum"
"Acquango","Eolian deposits"
"Acredale","Marine deposits"
"Acree","Alluvium"
"Acrelane","Colluvium"
"Acroph","Residuum"
"Actem","Alluvium"
"Acti","Colluvium"
"Acton","Till"
"Acuff","Eolian deposits"
"Acuna","Alluvium"
"Acy","Loess"
"Ada","Alluvium"
"Adaboi","Lacustrine deposits"
"Adair","Subglacial till"
"Adamant","Glaciolacustrine deposits"
"Adamatt","Residuum"
"Adams","Glaciofluvial deposits"
"Adamslake","Residuum"
"Adamson","Alluvium"
"Adamstown","Alluvium"
"Adamsville","Marine deposits"
"Adaton","Alluvium"
"Adaven","Alluvium"
"Adco","Loess"
"Adder","Alluvium"
"Adderton","Alluvium"
"Addicks","Fluviomarine deposits"
"Addielou","Alluvium"
"Ade","Eolian sands"
"Adek","Slope alluvium"
"Adel","Alluvium"
"Adelaide","Alluvium"
"Adeland","Loess"
"Adelanto","Alluvium"
"Adelino","Alluvium"
"Adellern","Colluvium"
"Adelmann","Alluvium"
"Adelphia","Fluviomarine deposits"
"Aden","Alluvium"
"Adena","Eolian deposits"
"Adger","Alluvium"
"Adieux","Residuum"
"Adilis","Alluvium"
"Adinot","Slope alluvium"
"Adios","Slope alluvium"
"Adirondack","Till"
"Adit","Residuum"
"Adjidaumo","Glaciolacustrine deposits"
"Adjuntas","Residuum"
"Adkins","Eolian deposits"
"Adler","Alluvium"
"Adman","Residuum"
"Adobe","Colluvium"
"Adolph","Drift"
"Adornado","Slope alluvium"
"Adrian","Herbaceous organic material"
"Advokay","Residuum"
"Adwell","Till"
"Ady","Slope alluvium"
"Adyeville","Residuum"
"Aecet","Eolian deposits"
"Aeneas","Loess"
"Aerie","Glaciolacustrine deposits"
"Aerobee","Alluvium"
"Aetna","Alluvium"
"Affey","Alluvium"
"Afley","Till"
"Aftad","Lacustrine deposits"
"Aftaden","Eolian deposits"
"Afton","Alluvium"
"Aga","Alluvium"
"Agan","Residuum"
"Agar","Loess"
"Agassiz","Residuum"
"Agate","Alluvium"
"Agatha","Colluvium"
"Agawam","Glaciofluvial deposits"
"Agee","Alluvium"
"Agency","Residuum"
"Agentia","Colluvium"
"Ager","Lacustrine deposits"
"Agerdelly","Colluvium"
"Agfayan","Marine deposits"
"Agiapuk","Alluvium"
"Agnal","Alluvium"
"Agness","Colluvium"
"Agneston","Colluvium"
"Agnew","Glaciomarine deposits"
"Agnos","Residuum"
"Agon","Alluvium"
"Agort","Residuum"
"Agra","Residuum"
"Agricola","Residuum"
"Agua","Alluvium"
"Agua Dulce","Residuum"
"Agua Fria","Alluvium"
"Aguachiquita","Alluvium"
"Aguadilla","Beach sand"
"Agualt","Alluvium"
"Agudo","Alluvium"
"Agueda","Alluvium"
"Aguena","Eolian sands"
"Agueybana","Residuum"
"Aguilar","Alluvium"
"Aguilareal","Colluvium"
"Aguilares","Residuum"
"Aguilita","Colluvium"
"Aguirre","Marine deposits"
"Aguja","Colluvium"
"Agust","Alluvium"
"Agustin","Alluvium"
"Ahart","Residuum"
"Ahchew","Colluvium"
