"COMPNAME","pmorigin"
"Aabab","Sandstone and siltstone"
"Aaberg","Shale"
"Aagard","Metamorphic and sedimentary rock"
"Aaron","Limestone and shale"
"Abac","Sandstone and shale"
"Abaft","Volcanic and sedimentary rock"
"Abajo","Igneous rock"
"Abalan","Tuff"
"Abalobadiah","Sandstone"
"Abbottstown","Shale and siltstone"
"Abcal","Limestone, sandstone, and shale"
"Abegg","Metasedimentary rock"
"Abela","Igneous and sedimentary rock"
"Abell","Sedimentary rock"
"Abernathy","Limestone"
"Aberone","Sandstone"
"Abersito","Sandstone and shale"
"Abert","Volcanic rock"
"Abeyta","Sandstone and shale"
"Abgese","Granite"
"Abin","Igneous, metamorphic and sedimentary rock"
"Abiqua","Basalt"
"Abiquiu","Sandstone"
"Abo","Sandstone and shale"
"Abor","Shale"
"Aborigine","Mixed"
"Aboten","Mixed"
"Abra","Sandstone"
"Abram","Granite and gneiss"
"Abrazo","Tuff"
"Abreu","Andesite"
"Abrojo","Tuff"
"Absaquil","Sandstone and siltstone"
"Absarokee","Sandstone and shale"
"Absarook","Sandstone"
"Absay","Shale and siltstone"
"Absher","Sedimentary rock"
"Absted","Sedimentary rock"
"Abston","Shale"
"Acacio","Basalt"
"Academy","Igneous rock"
"Acadia","Igneous, metamorphic and sedimentary rock"
"Acadiana","Igneous, metamorphic and sedimentary rock"
"Acampo","Granite"
"Acana","Welded tuff"
"Acanod","Igneous rock"
"Acantilado","Sandstone and shale"
"Acasco","Basalt"
"Accelerator","Sandstone and siltstone"
"Accola","Limestone"
"Aceitunas","Volcanic and sedimentary rock"
"Acel","Limestone"
"Achimin","Siltstone"
"Acker","Metamorphic rock"
"Ackett","Welded tuff"
"Ackley","Mixed"
"Ackmen","Igneous and sedimentary rock"
"Acoma","Volcanic rock"
"Acord","Mica schist"
"Acove","Sandstone"
"Acree","Sandstone and shale"
"Acrelane","Granodiorite"
"Actem","Igneous rock"
"Acti","Welded tuff"
"Acton","Granite and gneiss"
"Acy","Sedimentary rock"
"Ada","Granite"
"Adamatt","Andesite"
"Adams","Gneiss"
"Adamslake","Basalt"
"Adamstown","Limestone"
"Adaton","Sedimentary rock"
"Adaven","Ignimbrite"
"Addielou","Mixed"
"Adek","Limestone"
"Adel","Igneous, metamorphic and sedimentary rock"
"Adeland","Shale and siltstone"
"Adelanto","Granite"
"Adelino","Rhyolite"
"Adellern","Schist"
"Adena","Mixed"
"Adieux","Basalt"
"Adinot","Igneous rock"
"Adios","Basalt"
"Adirondack","Gneiss"
"Adit","Granite"
"Adjidaumo","Igneous and sedimentary rock"
"Adjuntas","Basalt"
"Adler","Sedimentary rock"
"Adman","Basalt"
"Adobe","Limestone and dolomite"
"Adornado","Pumice"
"Adrian","Limestone, sandstone, and shale"
"Advokay","Volcanic rock"
"Adwell","Basalt"
"Adyeville","Sandstone and shale"
"Aecet","Basalt"
"Afley","Granite and gneiss"
"Aftaden","Basalt"
"Aga","Igneous and sedimentary rock"
"Agan","Granite"
"Agassiz","Limestone"
"Agate","Igneous, metamorphic and sedimentary rock"
"Agatha","Basalt"
"Agawam","Gneiss"
"Agee","Limestone"
"Agency","Volcanic rock"
"Agentia","Basalt"
"Agerdelly","Siltstone"
"Agfayan","Tuff breccia"
"Agnal","Granite"
"Agness","Phyllite"
"Agneston","Granite"
"Agnos","Cherty limestone"
"Agon","Mixed"
"Agra","Clayey shale"
"Agricola","Hornblende gneiss"
"Agua","Igneous and sedimentary rock"
"Agua Dulce","Conglomerate"
"Agua Fria","Basalt"
"Aguachiquita","Fanglomerate"
"Aguadilla","Volcanic and sedimentary rock"
"Agudo","Sandstone and shale"
"Agueda","Sedimentary rock"
"Aguena","Mixed"
"Agueybana","Basalt"
"Aguilareal","Granite"
"Aguilares","Sandstone"
"Aguilita","Limestone"
"Aguirre","Igneous and sedimentary rock"
"Aguja","Tuff"
"Agust","Igneous and sedimentary rock"
"Ahart","Acidic tuff"
"Ahiu","Pahoehoe lava"
"Ahl","Basalt"
"Ahlstrom","Limestone, sandstone, and shale"
"Ahoy","Sandstone"
"Ahpah","Schist"
"Ahrs","Quartzite"
"Ahsahka","Granite"
"Ahtanum","Pumice"
"Ahwahnee","Granodiorite"
"Aibonito","Volcanic rock"
"Aido","Calcareous sandstone"
"Aiken","Conglomerate"
"Aikman","Rhyolite"
