"pmkind","area_ac","n_polygons","area_cumulative_proportion"
"Alluvium",406185775,6624723,0.21516599864219
"Residuum",401155860,8721398,0.427667534984931
"Loess",176641895,5618458,0.521238831861893
"Colluvium",157439987,2246166,0.604638433999778
"Till",157357219,7462528,0.687994192013935
"Marine deposits",87850460,2551822,0.734530612342972
"Eolian deposits",77059368,977882,0.775350741680235
"Slope alluvium",47826664,772153,0.800685631660772
"Volcanic ash",38971877,418266,0.821329936187846
"Eolian sands",37868739,429444,0.841389883004683
"Fluviomarine deposits",36308278,791176,0.860623217541936
"Outwash",35963592,1719981,0.879673963933634
"Glaciofluvial deposits",28535369,1383907,0.894789808813993
"Glaciolacustrine deposits",22246982,880553,0.906574549672544
"Lacustrine deposits",21188697,492330,0.917798692492247
"Lodgment till",19680124,673949,0.92822370930595
"Herbaceous organic material",18236698,457918,0.937884109986171
"Drift",15972899,642684,0.946345323982515
"Organic material",14561279,294844,0.954058770219136
"Pedisediment",12857585,454400,0.960869730343606
"Mossy organic material",6145225,13043,0.964124998143188
"Noncalcareous loess",6076085,364831,0.967343640885809
"Calcareous loess",6047717,230648,0.970547256442781
"Subglacial till",5461339,388153,0.973440254012325
"Woody organic material",4774777,88325,0.975969563812745
"Cryoturbate",4596837,4382,0.978404614680049
"Saprolite",4256839,193286,0.980659560743815
"Basal till",3333659,122307,0.982425477011729
"Supraglacial meltout till",2878533,135097,0.983950302512005
"Melt-out till",2336145,183270,0.985187812545186
"Supraglacial till",2297236,121840,0.986404711581241
"Glaciomarine deposits",2168904,70946,0.987553630189036
"Creep deposits",2038723,68772,0.98863358891051
"Coal extraction mine spoil",2004138,69972,0.989695227157656
"Grassy organic material",2004118,3149,0.99075685481034
"Mine spoil or earthy fill",1594545,54294,0.991601522172965
"Pumice",1516190,14200,0.992404683080018
"Ablation till",1480096,68930,0.993188724160547
"Mudflow deposits",1019865,19459,0.993728970236878
"Basic volcanic ash",939665,3603,0.99422673251847
"Estuarine deposits",879690,47591,0.994692724655554
"Backswamp deposits",865761,14534,0.995151338279211
"sandstone",852598,27986,0.995602979157354
"limestone",828170,12600,0.996041679958965
"Human-transported material",711833,28054,0.996418754361217
"Cinders",605558,3238,0.996739532438209
"Tephra",602194,2565,0.997058528526603
"Mass movement deposits",448038,2505,0.99729586461672
"Slide deposits",377170,3704,0.997495660288313
"Beach sand",370883,12168,0.997692125590611
"Coprogenic material",360617,35661,0.997883152755293
"shale",305068,16226,0.998044754330025
"Earthflow deposits",289273,3484,0.998197988927975
"Marl",278458,9608,0.998345494570313
"Complex landslide deposits",259966,1707,0.998483204572597
"Lahar deposits",229031,1615,0.998604527589965
"Diatomaceous earth",204949,1483,0.998713093815003
"Dredge spoils",189399,4091,0.998813422845425
"Grus",151018,3698,0.998893420572531
"Flow deposits",138362,999,0.998966714123749
"Ash flow",134641,739,0.999038036575214
"Basaltic volcanic ash",131977,799,0.99910794784427
"siltstone",122435,1736,0.999172804495254
"Talus",117775,414,0.999235192636469
"Acidic volcanic ash",112073,482,0.999294560296417
"Valley side alluvium",109703,10239,0.999352672512555
"Scoria",98340,1751,0.999404765484807
"igneous",93885,3870,0.999454498540532
"Lagoonal deposits",91033,312,0.9995027208259
"Greensands",88217,4484,0.999549451410943
"metamorphic",87759,3410,0.999595939382795
"tuff",84869,8655,0.999640896454812
"Rockfall deposits",75004,1014,0.999680627808186
"Debris flow deposits",63655,674,0.999714347333799
"Pyroclastic flow",61961,369,0.999747169508435
"Diamicton",58364,2648,0.999778086268986
"Solifluction deposits",55816,8,0.99980765329501
"Lateral spread deposits",51319,1697,0.999834838156135
"Rotational slide deposits",38878,631,0.999855432731844
"Rotational earth slide deposits",38019,224,0.999875572275388
"Flow till",29739,3781,0.999891325711445
"Andesitic volcanic ash",22297,217,0.999903136947994
"Debris slide deposits",21752,205,0.99991465948544
"Metal ore extraction mine spoil",20881,381,0.999925720634043
"shale-calcareous",19202,79,0.999935892377517
"dolomite",18426,667,0.999945653055844
"Rockfall avalanche deposits",17015,316,0.999954666294841
"conglomerate",16926,212,0.999963632388478
"Earth spread deposits",14273,302,0.999971193126662
"Debris avalanche deposits",11897,135,0.999977495242697
"Rock spread deposits",11572,42,0.999983625198716
"quartzite",9276,62,0.999988538910437
"Parna",6640,55,0.999992056271996
"breccia-basic",4502,66,0.999994441085511
"limestone-shale",2980,261,0.999996019660428
"Topple deposits",2585,280,0.99999738899471
"Debris spread deposits",1359,8,0.999998108888439
"aa",1182,1,0.999998735021174
"mixed",788,3,0.999999152442998
"Slump block",511,3,0.999999423131515
"sedimentary",329,14,0.999999597410424
"serpentine",329,14,0.999999771689333
"Pyroclastic surge",220,5,0.99999988822842
"Overbank deposits",111,5,0.999999947027687
"Bauxite",100,13,1
