"pmorigin","area_ac","n_polygons","area_cumulative_proportion"
"Sedimentary rock",75867674,1639140,0.0879844362021286
"Sandstone",69303781,1357509,0.168356665591431
"Sandstone and shale",64821406,1246100,0.243530643651431
"Limestone",64552623,1170996,0.318392911605284
"Shale",43138553,843830,0.368421086507294
"Granite",36992956,799050,0.411322156297705
"Basalt",34367305,331845,0.451178234582266
"Mixed",24861422,133844,0.480010253313369
"Granite and gneiss",22725354,950448,0.506365054426473
"Schist",22056890,955299,0.531944631718145
"Igneous, metamorphic and sedimentary rock",20789404,154774,0.556054293890182
"Shale and siltstone",20162816,812418,0.579437296221416
"Gneiss",20107145,861984,0.602755736384211
"Volcanic rock",16760078,73178,0.622192552300482
"Sandstone and siltstone",16101852,563970,0.640866017497664
"Igneous rock",15958645,153232,0.659373404225705
"Mica schist",14915506,579632,0.676671053104191
"Limestone and shale",13364312,574124,0.692169768097738
"Calcareous sandstone",12172062,182280,0.706285819849731
"Dolomite",11959617,414035,0.720155497190022
"Cherty limestone",11377970,440868,0.733350633178701
"Metasedimentary rock",11279639,146171,0.746431733806335
"Igneous and sedimentary rock",10898555,61101,0.759070887829864
"Mudstone",10544691,225575,0.771299662532522
"Andesite",10084799,76884,0.782995096271887
"Igneous and metamorphic rock",9603740,276201,0.79413264148425
"Phyllite",9441971,399062,0.805082581706114
"Interbedded sedimentary rock",9050256,352279,0.815578246455833
"Limestone, sandstone, and shale",8794581,404996,0.825777402567024
"Quartzite",7874572,176379,0.834909615817071
"Tuff",7649142,49350,0.843780395832022
"Limestone and sandstone",7045374,88901,0.851950980569115
"Siltstone",6973443,255050,0.860038146266889
"Calcareous shale",6969843,177622,0.8681211370117
"Rhyolite",6275317,34200,0.875398679595049
"Limestone and dolomite",6074965,169489,0.882443872129522
"Claystone",6049419,109529,0.88945943873389
"Metavolcanics",5734327,113607,0.896109590260792
"Clayey shale",5490757,185959,0.902477271428504
"Metamorphic rock",5488815,108090,0.908842700441034
"Welded tuff",5453216,13247,0.915166844967311
"Granodiorite",5183630,64463,0.921178348140987
"Calcareous siltstone",4420563,92204,0.926304915527922
"Acid shale",4167918,115852,0.931138488195072
"Argillite",3732596,90516,0.935467213952901
"Chalk",3449093,73856,0.939467158685801
"Metamorphic and sedimentary rock",3200696,31546,0.943179035143413
"Diorite",3060293,110983,0.946728084956359
"Slate",2823989,93872,0.950003090856843
"Conglomerate",2754575,35289,0.953197596705955
"Tuff breccia",2250325,22099,0.955807319213021
"Diabase",1917737,101757,0.958031336371224
"Amphibolite",1905599,96661,0.960241276979688
"Gabbro",1865867,93323,0.962405140023956
"Limestone and siltstone",1830574,60599,0.964528073452972
"Rock gypsum",1693913,9655,0.966492519868984
"Volcanic and sedimentary rock",1603256,10011,0.968351830532016
"Volcanic breccia",1556543,17377,0.970156967701232
"Granitoid",1521828,6490,0.971921845567089
"Hornblende gneiss",1441722,59159,0.973593823771274
"Pyroclastic rock",1309786,2682,0.975112794588218
"Greenstone",1178217,44022,0.976479183631182
"Glauconitic sandstone",1028729,57325,0.977672210071795
"Trachyte",925555,2419,0.978745584679919
"Serpentinite",923458,8533,0.979816527377943
"Porcellanite",901197,19933,0.980861653790439
"Graywacke",881708,25482,0.981884178631189
"Quartz-monzonite",873507,5946,0.982897192697148
"Acidic volcanic breccia",871951,2859,0.98390840225566
"Chert",844113,21115,0.98488732783068
"Biotite gneiss",813549,46336,0.985830808055049
"Aa lava",732615,2274,0.986680428378564
"Quartz-diorite",729142,6302,0.987526021032179
"Dacite",687559,9457,0.98832338949995
"Phosphatic limestone",680082,47780,0.989112086822359
"Cinders",617540,2238,0.989828253614717
"Arkose",597863,8169,0.990521600810008
"Pahoehoe lava",571347,2629,0.991184197157311
"Noncalcareous sandstone",460007,21713,0.991717671487156
"Latite",441696,2501,0.99222991038264
"Basic igneous rock",420393,3764,0.992717443993969
"Fanglomerate",414246,5640,0.993197848873114
"Sericite schist",353452,10272,0.993607750393813
"Basic volcanic breccia",322870,2650,0.993982185689095
"Calcareous conglomerate",314990,3769,0.994347482476226
"Muscovite-biotite gneiss",309405,20506,0.99470630228772
"Hornfels",298529,12926,0.99505250910243
"Ultramafic rock",241313,2694,0.995332361998055
"Argillaceous limestone",237030,18531,0.995607247859364
"Volcanic and metamorphic rock",235254,1095,0.995880074077211
"Peridotite",224317,2177,0.996140216556016
"Granodioritic gneiss",223283,12137,0.996399159895554
"Volcanic sandstone",217455,3066,0.996651344450129
"Acidic tuff",195305,3329,0.996877841446893
"Pumice",189945,1399,0.997098122402579
"Marl",189353,2137,0.997317716810445
"Non-volcanic breccia",174682,2111,0.997520297125279
"Ignimbrite",170778,421,0.997718349935567
"Monzonite",164611,2183,0.997909250819489
"Basic tuff",164347,2683,0.998099845540193
"Siltite",147888,2039,0.998271352607894
"Schist and phyllite",139490,3617,0.998433120438101
"Arenaceous limestone",138045,2783,0.998593212488578
"Metaquartzite",124319,3444,0.998737386371175
"Metaconglomerate",108395,6580,0.998863093045168
"Coal",103143,5615,0.998982708926672
"Travertine",95951,101,0.999093984179925
"Novaculite",93830,2370,0.999202799690057
"Mylonite",85354,3919,0.999301785505381
"Anorthosite",80595,1579,0.99939525226483
"Migmatitic gneiss",67072,2314,0.999473036277359
"Orthoquartzite",65532,1985,0.999549034337787
"Graphitic schist",61104,1061,0.999619897206071
"Acid igneous rock",45970,206,0.999673209035984
"Marble",40738,1419,0.999720453267592
"Granulite",30480,2235,0.999755801202675
"Tonalite",28700,1217,0.99978908485546
